coo: 42.3598039_-71.1131296;E 00:00:00;A 00:00:00;E 01:00:00;A 01:00:00;E 02:00:00;A 02:00:00;E 03:00:00;A 03:00:00;E 04:00:00;A 04:00:00;E 05:00:00;A 05:00:00;E 06:00:00;A 06:00:00;E 07:00:00;A 07:00:00;E 08:00:00;A 08:00:00;E 09:00:00;A 09:00:00;E 10:00:00;A 10:00:00;E 11:00:00;A 11:00:00;E 12:00:00;A 12:00:00;E 13:00:00;A 13:00:00;E 14:00:00;A 14:00:00;E 15:00:00;A 15:00:00;E 16:00:00;A 16:00:00;E 17:00:00;A 17:00:00;E 18:00:00;A 18:00:00;E 19:00:00;A 19:00:00;E 20:00:00;A 20:00:00;E 21:00:00;A 21:00:00;E 22:00:00;A 22:00:00;E 23:00:00;A 23:00:00;
2020-01-01;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.17;129.10;14.02;140.63;20.05;153.62;23.71;167.97;24.58;183.06;22.55;197.96;17.89;211.80;11.06;224.20;2.61;235.20;--;--;--;--;--;--;--;--;--;--;--;--;
2020-01-02;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.16;128.97;14.04;140.49;20.09;153.48;23.77;167.83;24.67;182.95;22.66;197.87;18.01;211.74;11.20;224.16;2.75;235.17;--;--;--;--;--;--;--;--;--;--;--;--;
2020-01-03;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.17;128.82;14.07;140.35;20.14;153.34;23.84;167.70;24.77;182.83;22.78;197.78;18.14;211.68;11.33;224.12;2.89;235.16;--;--;--;--;--;--;--;--;--;--;--;--;
2020-01-04;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.18;128.68;14.10;140.20;20.19;153.20;23.93;167.57;24.87;182.72;22.91;197.70;18.28;211.62;11.48;224.09;3.04;235.14;--;--;--;--;--;--;--;--;--;--;--;--;
2020-01-05;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.20;128.53;14.14;140.05;20.26;153.05;24.01;167.44;24.98;182.61;23.04;197.62;18.42;211.57;11.63;224.07;3.19;235.14;--;--;--;--;--;--;--;--;--;--;--;--;
2020-01-06;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.23;128.38;14.18;139.90;20.33;152.90;24.11;167.30;25.10;182.50;23.17;197.54;18.57;211.53;11.78;224.04;3.35;235.14;--;--;--;--;--;--;--;--;--;--;--;--;
2020-01-07;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.26;128.22;14.24;139.74;20.40;152.76;24.21;167.17;25.23;182.40;23.32;197.47;18.72;211.49;11.94;224.03;3.51;235.14;--;--;--;--;--;--;--;--;--;--;--;--;
2020-01-08;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.30;128.06;14.30;139.59;20.49;152.61;24.32;167.04;25.36;182.29;23.47;197.39;18.89;211.45;12.10;224.02;3.67;235.16;--;--;--;--;--;--;--;--;--;--;--;--;
2020-01-09;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.34;127.90;14.36;139.43;20.58;152.46;24.44;166.91;25.50;182.19;23.63;197.33;19.05;211.42;12.27;224.02;3.84;235.17;--;--;--;--;--;--;--;--;--;--;--;--;
2020-01-10;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.39;127.73;14.44;139.27;20.68;152.30;24.57;166.77;25.65;182.09;23.79;197.27;19.22;211.39;12.45;224.02;4.01;235.20;--;--;--;--;--;--;--;--;--;--;--;--;
2020-01-11;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.45;127.56;14.52;139.10;20.79;152.15;24.70;166.64;25.81;181.99;23.96;197.21;19.40;211.37;12.63;224.03;4.19;235.23;--;--;--;--;--;--;--;--;--;--;--;--;
2020-01-12;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.52;127.39;14.61;138.94;20.90;152.00;24.84;166.51;25.97;181.89;24.14;197.15;19.58;211.35;12.81;224.04;4.37;235.27;--;--;--;--;--;--;--;--;--;--;--;--;
2020-01-13;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.59;127.22;14.70;138.77;21.02;151.84;24.99;166.38;26.14;181.80;24.32;197.10;19.77;211.34;13.00;224.06;4.55;235.31;--;--;--;--;--;--;--;--;--;--;--;--;
2020-01-14;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.67;127.04;14.80;138.60;21.15;151.69;25.14;166.25;26.31;181.71;24.51;197.05;19.97;211.33;13.19;224.09;4.74;235.36;--;--;--;--;--;--;--;--;--;--;--;--;
2020-01-15;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.75;126.86;14.91;138.43;21.28;151.53;25.30;166.12;26.50;181.62;24.70;197.01;20.17;211.33;13.39;224.12;4.93;235.41;--;--;--;--;--;--;--;--;--;--;--;--;
2020-01-16;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.84;126.68;15.03;138.26;21.43;151.38;25.47;166.00;26.68;181.53;24.91;196.97;20.37;211.33;13.59;224.15;5.13;235.48;--;--;--;--;--;--;--;--;--;--;--;--;
2020-01-17;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.94;126.49;15.15;138.08;21.57;151.22;25.64;165.87;26.88;181.45;25.11;196.93;20.58;211.34;13.79;224.20;5.33;235.54;--;--;--;--;--;--;--;--;--;--;--;--;
2020-01-18;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;7.05;126.30;15.28;137.90;21.73;151.06;25.83;165.74;27.08;181.37;25.33;196.90;20.79;211.36;14.00;224.25;5.53;235.62;--;--;--;--;--;--;--;--;--;--;--;--;
2020-01-19;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;7.16;126.12;15.41;137.73;21.89;150.90;26.01;165.62;27.29;181.29;25.54;196.88;21.01;211.38;14.22;224.30;5.73;235.70;--;--;--;--;--;--;--;--;--;--;--;--;
2020-01-20;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;7.28;125.92;15.56;137.55;22.06;150.74;26.21;165.49;27.50;181.22;25.77;196.85;21.24;211.40;14.43;224.36;5.94;235.78;--;--;--;--;--;--;--;--;--;--;--;--;
2020-01-21;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;7.40;125.73;15.70;137.37;22.24;150.59;26.41;165.37;27.72;181.14;26.00;196.84;21.46;211.43;14.65;224.43;6.15;235.88;--;--;--;--;--;--;--;--;--;--;--;--;
2020-01-22;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;7.53;125.54;15.86;137.19;22.42;150.43;26.62;165.25;27.95;181.07;26.23;196.82;21.70;211.47;14.88;224.50;6.37;235.98;--;--;--;--;--;--;--;--;--;--;--;--;
